No.,Yoga Name,Category,Effect Type,Formula,Planets Involved,Houses Involved,Signs Involved,Navamsa Involvement,Strength Conditions,Effect,Benefic/Malefic Nature,Intensity Level,Frequency (Common/Rare),Cancellation Conditions,Text Reference,Page Number,Shloka (if known),Interpretive Notes,Astro Tag(s),Variations/Subtypes,Chart Examples
1,Gajakesari Yoga,Lunar Yoga,"Fame, Wisdom, Success","Jupiter in Kendra (1st, 4th, 7th, or 10th) from Moon","Jupiter, Moon","1st, 4th, 7th, 10th from Moon",,Not required,"Jupiter should be strong, unafflicted","Grants intelligence, wisdom, leadership, popularity, respect",Benefic,Strong if Moon and Jupiter are both well-placed,Fairly common,Afflicted or combust Jupiter/Moon weakens the yoga,Three Hundred Important Combinations,1,,Strongest when Jupiter is in exaltation or own sign,"Raja Yoga, Dhana Yoga, Lunar Yoga",Gajakesari from Chandra Lagna or Lagna,Often seen in political or scholarly horoscopes
2,Sunapha Yoga,Lunar Yoga,"Wealth, Independence",Planets (excluding Sun) in 2nd from Moon,"Any planet except Sun, Moon",2nd from Moon,,Not specified,Stronger with benefics,"Self-reliant, intelligent, successful by own efforts",Generally Benefic,Moderate to Strong,Moderately common,No planet in 2nd from Moon,Three Hundred Important Combinations,1,,One of the Subha Kartari-type yogas,"Subha Yoga, Lunar Yoga",,Seen in self-made entrepreneurs
3,Anapha Yoga,Lunar Yoga,"Character, Respect, Comforts",Planets (excluding Sun) in 12th from Moon,"Any planet except Sun, Moon",12th from Moon,,Not specified,Better when formed by benefics,"Confident, self-reliant, well-dressed, enjoys comforts",Benefic,Moderate,Moderately common,No planet in 12th from Moon,Three Hundred Important Combinations,2,,Part of Subha Kartari group; improves mental stability,"Subha Yoga, Lunar Yoga",,Found in charts of dignified professionals
4,Durdhura Yoga,Lunar Yoga,"Wealth, Influence",Planets (excluding Sun) in both 2nd and 12th from Moon,"Any planet except Sun, Moon",2nd and 12th from Moon,,Not required,Strong benefics enhance yoga,"Powerful, influential, wealthy, respected by government",Benefic,Strong if well-formed,Less common,No planets on both sides of Moon,Three Hundred Important Combinations,3,,This is the strongest of the Subha Kartari yogas,"Subha Yoga, Lunar Yoga, Kartari",,Seen in CEOs and statesmen
5,Kemadruma Yoga,Arishta Yoga,"Misfortune, Poverty",No planets on either side of Moon and no planets in kendras,Moon,"2nd and 12th from Moon, Kendras",,Not relevant,No benefic intervention at all,"Loneliness, financial struggles, psychological weakness",Malefic,Very strong if unaided,Rare in pure form,Planets in kendras or in 2nd/12th from Moon cancel it,Three Hundred Important Combinations,3,,Most feared among Subha Kartari opposites,"Arishta, Moon-based, Dosha",,May appear in charts of ascetics or isolated individuals
6,Chandra-Mangala Yoga,Dhana Yoga,"Wealth, Enterprise",Moon and Mars in conjunction or mutual aspect,"Moon, Mars",Any (depends on position),,Optional,Unafflicted Moon and Mars,"Trade success, financial acumen, good for business",Neutral to Benefic,Moderate,Common,If heavily afflicted or debilitated,Three Hundred Important Combinations,4,,"Best when in 2nd, 4th, 10th, or 11th houses","Wealth, Lunar Yoga, Mars influence",,Prominent in traders’ charts
7,Adhi Yoga,Raja Yoga,"Power, Dignity","Benefics in 6th, 7th, and 8th from Moon","Moon, benefics","6th, 7th, 8th from Moon",,Not specified,Only benefics in those houses,"Leadership, ministerial status, success",Benefic,Strong,Rare in pure form,Presence of malefics in 6th/7th/8th,Three Hundred Important Combinations,5,,Higher results if Jupiter or Venus are involved,"Moon-based, Kendra Yoga, Benefic Yoga",Lagna-based Adhi Yoga,
8,Chatussagara Yoga,Maha Yoga,"Fame, Foundation",Planets in all four kendras from Lagna,Any four planets,"1st, 4th, 7th, 10th",,Not needed,Strong planets in kendras,"Global fame, foundational strength, wealth",Generally benefic,Strong,Rare,Missing planets in kendras,Three Hundred Important Combinations,5,,Major public success if all planets strong,"Kendra Yoga, Public Fame",,
9,Vasumati Yoga,Dhana Yoga,Wealth,"Benefics in Upachayas (3rd, 6th, 10th, 11th) from Lagna or Moon",Benefics,"3rd, 6th, 10th, 11th",,Not relevant,Only benefics involved,"Continuous income, generous lifestyle",Benefic,Moderate,Moderate,Presence of malefics,Three Hundred Important Combinations,6,,Not strong alone but excellent support yoga,"Wealth, Upachaya",,
10,Rajalakshana Yoga,Raja Yoga,"Dignity, Command","Moon, Mercury, Venus, Jupiter in Kendras from Lagna","Moon, Mercury, Venus, Jupiter","1st, 4th, 7th, 10th",,Not specified,Planets must be strong,"Royal grace, prosperity, public recognition",Strongly benefic,Strong,Rare,Combustion or affliction,Three Hundred Important Combinations,6,,Must occur in kendras to be valid,"Kendra Yoga, Benefic Combo",,
